listing_id,price,nbhood_full,State
5647213,128,Brooklyn, Bedford-Stuyvesant
5647416,159,Manhattan, Upper East Side
5649163,101,Brooklyn, Bedford-Stuyvesant
5649580,195,Manhattan, Upper East Side
5651523,160,Manhattan, East Harlem
5651944,195,Manhattan, Upper East Side
5656639,275,Manhattan, Upper West Side
5659180,99,Brooklyn, Flatbush
5659417,125,Manhattan, East Village
5659666,125,Brooklyn, Bedford-Stuyvesant
5661080,165,Manhattan, Chelsea
5661276,129,Manhattan, Hell's Kitchen
5663222,90,Manhattan, Harlem
5670672,188,Brooklyn, Clinton Hill
5672615,50,Brooklyn, Crown Heights
5678143,130,Brooklyn, Fort Greene
5679557,180,Brooklyn, Park Slope
5681742,62,Manhattan, Harlem
5690007,75,Manhattan, Washington Heights
5691347,135,Brooklyn, Clinton Hill
5692807,250,Manhattan, Chelsea
5694862,125,Brooklyn, Gowanus
5695523,100,Brooklyn, Bedford-Stuyvesant
5697556,155,Brooklyn, Williamsburg
5699348,165,Manhattan, Upper East Side
5705775,165,Brooklyn, Boerum Hill
5707711,59,Queens, Forest Hills
5715049,181,Brooklyn, Park Slope
5717355,90,Brooklyn, Williamsburg
5719742,240,Manhattan, Upper West Side
5727850,70,Manhattan, Financial District
5728014,200,Manhattan, Upper West Side
5728502,180,Brooklyn, Williamsburg
5729118,244,Manhattan, Upper West Side
5729222,40,Brooklyn, Flatbush
5735314,135,Brooklyn, Greenpoint
5736059,65,Brooklyn, Bedford-Stuyvesant
5736925,140,Brooklyn, Park Slope
5738785,112,Queens, East Elmhurst
5742615,149,Manhattan, Chinatown
5748301,70,Queens, Rego Park
5749382,96,Manhattan, East Harlem
5756476,150,Manhattan, Kips Bay
5757333,350,Manhattan, Harlem
5758234,225,Brooklyn, Bushwick
5760510,110,Manhattan, Lower East Side
5760776,245,Manhattan, SoHo
5761032,65,Manhattan, Harlem
5762947,60,Queens, Flushing
5763191,68,Manhattan, Upper West Side
5770483,195,Manhattan, Hell's Kitchen
5771366,49,Staten Island, Tompkinsville
5773199,150,Manhattan, Upper West Side
5783517,50,Brooklyn, Crown Heights
5783899,100,Manhattan, East Harlem
5783925,50,Manhattan, East Harlem
5789606,70,Manhattan, Morningside Heights
5791707,100,Manhattan, Upper East Side
5793707,125,Manhattan, Lower East Side
5794806,148,Brooklyn, Flatbush
5803875,114,Brooklyn, Prospect-Lefferts Gardens
5804184,45,Brooklyn, Bushwick
5804451,85,Brooklyn, Crown Heights
5806273,65,Manhattan, Harlem
5806416,280,Manhattan, Nolita
5806803,65,Brooklyn, Clinton Hill
